id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-11734,2025-11-25,000001,Vente,15660,,,LES CHAMPS FINDREUX,B010,01630,01401,Sergy,01,,,014010000C0509,,,,,,,,,,,,,0,,,,,T,terres,,,5740,6.013291,46.243489
2025-12188,2025-11-24,000001,Vente,375000,71,,RUE DES PRELES,0155,01630,01401,Sergy,01,,,014010000C0076,,,85,,,,,,,,,,1,3,Dépendance,,0,,,,,,5.997641,46.252392
2025-12188,2025-11-24,000001,Vente,375000,85,,RUE DES PRELES,0155,01630,01401,Sergy,01,,,014010000C0076,,,37,,,,,,,,,,1,2,Appartement,76,3,,,,,,5.997641,46.252392
2025-12690,2025-12-15,000001,Vente,775700,281,,CHE DE CAIROLY,0015,01630,01401,Sergy,01,,,014010000C2941,,,,,,,,,,,,,0,1,Maison,152,5,AG,terrains d'agrément,,,726,5.997214,46.248947
2025-12690,2025-12-15,000001,Vente,775700,281,,CHE DE CAIROLY,0015,01630,01401,Sergy,01,,,014010000C2941,,,,,,,,,,,,,0,1,Maison,152,5,S,sols,,,500,5.997214,46.248947
2025-12690,2025-12-15,000001,Vente,775700,,,LES EQUIMOCHES,B020,01630,01401,Sergy,01,,,014010000C2944,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,,,58,5.996929,46.248857
2025-12852,2025-12-15,000001,Vente,1500,,,LES CUTTEMIS,B018,01630,01401,Sergy,01,,,014010000C0626,,,,,,,,,,,,,0,,,,,P,prés,,,1400,6.005265,46.245682
2025-12878,2025-12-09,000002,Vente,6050,,,LES FOLATIERES,B022,01630,01401,Sergy,01,,,014010000C2970,,,,,,,,,,,,,0,,,,,P,prés,,,121,,
2025-13168,2025-12-19,000001,Vente en l'état futur d'achèvement,400000,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2852,,,2,,,,,,,,,,1,,,,,,,,,,6.000856,46.251725
2025-13516,2025-12-24,000001,Vente en l'état futur d'achèvement,537000,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2776,,,87,,,,,,,,,,1,,,,,,,,,,6.00033,46.25237
2025-13516,2025-12-24,000001,Vente en l'état futur d'achèvement,537000,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2776,,,10,,,,,,,,,,1,,,,,,,,,,6.00033,46.25237
2025-13516,2025-12-24,000001,Vente en l'état futur d'achèvement,537000,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2776,,,116,,,,,,,,,,1,,,,,,,,,,6.00033,46.25237
2025-13516,2025-12-24,000001,Vente en l'état futur d'achèvement,537000,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2776,,,4,,,,,,,,,,1,,,,,,,,,,6.00033,46.25237
2025-13516,2025-12-24,000001,Vente en l'état futur d'achèvement,537000,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2776,,,86,,,,,,,,,,1,,,,,,,,,,6.00033,46.25237
2025-13659,2025-12-30,000001,Vente,156000,116,,CHE DE LA RAMAZ,0160,01630,01401,Sergy,01,,,014010000B1250,,,173,,179,37.49,,,,,,,2,3,Dépendance,,0,,,,,,5.990673,46.259753
2025-13659,2025-12-30,000001,Vente,156000,116,,CHE DE LA RAMAZ,0160,01630,01401,Sergy,01,,,014010000B1250,,,173,,179,37.49,,,,,,,2,2,Appartement,38,2,,,,,,5.990673,46.259753
